"Question","Intent","Answer"
"GC Mansehra details?","college_introduction","Government Postgraduate College Mansehra is a public-sector educational institution serving students since 1958 with intermediate, degree, postgraduate, and BS programs."
"Explain GC Mansehra.","college_introduction","Government Postgraduate College Mansehra is a public-sector educational institution serving students since 1958 with intermediate, degree, postgraduate, and BS programs."
"Information on GC Mansehra?","college_introduction","Government Postgraduate College Mansehra is a public-sector educational institution serving students since 1958 with intermediate, degree, postgraduate, and BS programs."
"Brief about Government Postgraduate College Mansehra.","college_introduction","Government Postgraduate College Mansehra is a public-sector educational institution serving students since 1958 with intermediate, degree, postgraduate, and BS programs."
"What is GC Mansehra all about?","college_introduction","Government Postgraduate College Mansehra is a public-sector educational institution serving students since 1958 with intermediate, degree, postgraduate, and BS programs."
"Give GC Mansehra info.","college_introduction","Government Postgraduate College Mansehra is a public-sector educational institution serving students since 1958 with intermediate, degree, postgraduate, and BS programs."
"Explain Government Postgraduate College Mansehra briefly.","college_introduction","Government Postgraduate College Mansehra is a public-sector educational institution serving students since 1958 with intermediate, degree, postgraduate, and BS programs."
"When was GC Mansehra established?","college_establishment_year","GC Mansehra was established in 1958 in a small building in Mansehra town."
"In which year was GC Mansehra founded?","college_establishment_year","GC Mansehra was established in 1958 in a small building in Mansehra town."
"What year did GC Mansehra start?","college_establishment_year","GC Mansehra was established in 1958 in a small building in Mansehra town."
"When did the college begin?","college_establishment_year","GC Mansehra was established in 1958 in a small building in Mansehra town."
"When was Government College Mansehra founded?","college_establishment_year","GC Mansehra was established in 1958 in a small building in Mansehra town."
"GC Mansehra founding year?","college_establishment_year","GC Mansehra was established in 1958 in a small building in Mansehra town."
"When was GC Mansehra officially established?","college_establishment_year","GC Mansehra was established in 1958 in a small building in Mansehra town."
"In what year did GC Mansehra start operating?","college_establishment_year","GC Mansehra was established in 1958 in a small building in Mansehra town."
"What year did GC Mansehra open?","college_establishment_year","GC Mansehra was established in 1958 in a small building in Mansehra town."
"Establishment year of GC Mansehra?","college_establishment_year","GC Mansehra was established in 1958 in a small building in Mansehra town."
"When did GC Mansehra first open?","college_establishment_year","GC Mansehra was established in 1958 in a small building in Mansehra town."
"GC Mansehra origin year?","college_establishment_year","GC Mansehra was established in 1958 in a small building in Mansehra town."
"What is the foundation year of GC Mansehra?","college_establishment_year","GC Mansehra was established in 1958 in a small building in Mansehra town."
"When did Government College Mansehra start?","college_establishment_year","GC Mansehra was established in 1958 in a small building in Mansehra town."
"GC Mansehra founding date?","college_establishment_year","GC Mansehra was established in 1958 in a small building in Mansehra town."
"Tell me when GC Mansehra was established.","college_establishment_year","GC Mansehra was established in 1958 in a small building in Mansehra town."
"In which year was Government College Mansehra started?","college_establishment_year","GC Mansehra was established in 1958 in a small building in Mansehra town."
"GC Mansehra started in which year?","college_establishment_year","GC Mansehra was established in 1958 in a small building in Mansehra town."
"When was the college founded?","college_establishment_year","GC Mansehra was established in 1958 in a small building in Mansehra town."
"Year GC Mansehra was established?","college_establishment_year","GC Mansehra was established in 1958 in a small building in Mansehra town."
"Who supports development work at the college?","development_support","Development work at GC Mansehra is carried out with the cooperation of different sources and organizations."
"Who helps with development projects at GC Mansehra?","development_support","Development work at GC Mansehra is carried out with the cooperation of different sources and organizations."
"Which organizations support development at the college?","development_support","Development work at GC Mansehra is carried out with the cooperation of different sources and organizations."
"Who funds development activities at GC Mansehra?","development_support","Development work at GC Mansehra is carried out with the cooperation of different sources and organizations."
"Who is responsible for development work at GC Mansehra?","development_support","Development work at GC Mansehra is carried out with the cooperation of different sources and organizations."
"Which entities assist in college development?","development_support","Development work at GC Mansehra is carried out with the cooperation of different sources and organizations."
"Who collaborates on development projects at GC Mansehra?","development_support","Development work at GC Mansehra is carried out with the cooperation of different sources and organizations."
"Who participates in GC Mansehra’s development work?","development_support","Development work at GC Mansehra is carried out with the cooperation of different sources and organizations."
"Which partners support GC Mansehra development?","development_support","Development work at GC Mansehra is carried out with the cooperation of different sources and organizations."
"Who helps the college with development?","development_support","Development work at GC Mansehra is carried out with the cooperation of different sources and organizations."
"Which organizations cooperate in GC Mansehra development?","development_support","Development work at GC Mansehra is carried out with the cooperation of different sources and organizations."
"Who provides assistance for college projects?","development_support","Development work at GC Mansehra is carried out with the cooperation of different sources and organizations."
"Who backs development initiatives at GC Mansehra?","development_support","Development work at GC Mansehra is carried out with the cooperation of different sources and organizations."
"Who participates in development work?","development_support","Development work at GC Mansehra is carried out with the cooperation of different sources and organizations."
"Who is involved in college development activities?","development_support","Development work at GC Mansehra is carried out with the cooperation of different sources and organizations."
"Who helps implement development projects?","development_support","Development work at GC Mansehra is carried out with the cooperation of different sources and organizations."
"Who supports infrastructure and development work at GC Mansehra?","development_support","Development work at GC Mansehra is carried out with the cooperation of different sources and organizations."
"Which organizations help with college development?","development_support","Development work at GC Mansehra is carried out with the cooperation of different sources and organizations."
"Who coordinates development programs at GC Mansehra?","development_support","Development work at GC Mansehra is carried out with the cooperation of different sources and organizations."
"Who contributes to GC Mansehra development work?","development_support","Development work at GC Mansehra is carried out with the cooperation of different sources and organizations."
"Why should students choose GC Mansehra?","college_selection_reason","GC Mansehra offers quality education, experienced faculty, modern facilities, and a supportive learning environment."
"What makes GC Mansehra a good choice for students?","college_selection_reason","GC Mansehra offers quality education, experienced faculty, modern facilities, and a supportive learning environment."
"Why pick GC Mansehra for higher education?","college_selection_reason","GC Mansehra offers quality education, experienced faculty, modern facilities, and a supportive learning environment."
"Reasons to choose GC Mansehra?","college_selection_reason","GC Mansehra offers quality education, experienced faculty, modern facilities, and a supportive learning environment."
"Why attend GC Mansehra?","college_selection_reason","GC Mansehra offers quality education, experienced faculty, modern facilities, and a supportive learning environment."
"Why should students enroll at GC Mansehra?","college_selection_reason","GC Mansehra offers quality education, experienced faculty, modern facilities, and a supportive learning environment."
"What benefits do students get at GC Mansehra?","college_selection_reason","GC Mansehra offers quality education, experienced faculty, modern facilities, and a supportive learning environment."
"Why is GC Mansehra recommended for students?","college_selection_reason","GC Mansehra offers quality education, experienced faculty, modern facilities, and a supportive learning environment."
"What makes GC Mansehra ideal for students?","college_selection_reason","GC Mansehra offers quality education, experienced faculty, modern facilities, and a supportive learning environment."
"Why choose GC Mansehra over other colleges?","college_selection_reason","GC Mansehra offers quality education, experienced faculty, modern facilities, and a supportive learning environment."
"Why is GC Mansehra preferred by students?","college_selection_reason","GC Mansehra offers quality education, experienced faculty, modern facilities, and a supportive learning environment."
"Why should one join GC Mansehra?","college_selection_reason","GC Mansehra offers quality education, experienced faculty, modern facilities, and a supportive learning environment."
"What advantages does GC Mansehra provide?","college_selection_reason","GC Mansehra offers quality education, experienced faculty, modern facilities, and a supportive learning environment."
"Why select GC Mansehra for studies?","college_selection_reason","GC Mansehra offers quality education, experienced faculty, modern facilities, and a supportive learning environment."
"Why is GC Mansehra an excellent choice?","college_selection_reason","GC Mansehra offers quality education, experienced faculty, modern facilities, and a supportive learning environment."
"Why enroll in GC Mansehra?","college_selection_reason","GC Mansehra offers quality education, experienced faculty, modern facilities, and a supportive learning environment."
"What makes GC Mansehra suitable for students?","college_selection_reason","GC Mansehra offers quality education, experienced faculty, modern facilities, and a supportive learning environment."
"Why GC Mansehra is a good option for education?","college_selection_reason","GC Mansehra offers quality education, experienced faculty, modern facilities, and a supportive learning environment."
"Why students prefer GC Mansehra?","college_selection_reason","GC Mansehra offers quality education, experienced faculty, modern facilities, and a supportive learning environment."
"Reasons to study at GC Mansehra?","college_selection_reason","GC Mansehra offers quality education, experienced faculty, modern facilities, and a supportive learning environment."
"How does GC Mansehra help students succeed?","student_support","The college has dedicated and qualified staff who guide students academically and personally."
"How does the college support students' success?","student_support","The college has dedicated and qualified staff who guide students academically and personally."
"In what ways does GC Mansehra assist students?","student_support","The college has dedicated and qualified staff who guide students academically and personally."
"How does GC Mansehra help students achieve goals?","student_support","The college has dedicated and qualified staff who guide students academically and personally."
"How are students guided at GC Mansehra?","student_support","The college has dedicated and qualified staff who guide students academically and personally."
"How does GC Mansehra ensure student success?","student_support","The college has dedicated and qualified staff who guide students academically and personally."
"What support do students get at GC Mansehra?","student_support","The college has dedicated and qualified staff who guide students academically and personally."
"How does the college guide students?","student_support","The college has dedicated and qualified staff who guide students academically and personally."
"In what ways does GC Mansehra provide student support?","student_support","The college has dedicated and qualified staff who guide students academically and personally."
"How does GC Mansehra mentor students?","student_support","The college has dedicated and qualified staff who guide students academically and personally."
"How are students helped at GC Mansehra?","student_support","The college has dedicated and qualified staff who guide students academically and personally."
"How does GC Mansehra ensure academic guidance?","student_support","The college has dedicated and qualified staff who guide students academically and personally."
"How does GC Mansehra facilitate learning for students?","student_support","The college has dedicated and qualified staff who guide students academically and personally."
"What academic support is provided at GC Mansehra?","student_support","The college has dedicated and qualified staff who guide students academically and personally."
"How does GC Mansehra assist students personally and academically?","student_support","The college has dedicated and qualified staff who guide students academically and personally."
"How does GC Mansehra help students progress?","student_support","The college has dedicated and qualified staff who guide students academically and personally."
"In which ways does GC Mansehra support learners?","student_support","The college has dedicated and qualified staff who guide students academically and personally."
"What guidance is offered at GC Mansehra?","student_support","The college has dedicated and qualified staff who guide students academically and personally."
"How is student success achieved at GC Mansehra?","student_support","The college has dedicated and qualified staff who guide students academically and personally."
"How are students mentored at GC Mansehra?","student_support","The college has dedicated and qualified staff who guide students academically and personally."
"What kind of learning environment does GC Mansehra offer?","learning_environment","The college provides a vibrant, lively, and student-friendly learning environment."
"What type of learning environment is available at GC Mansehra?","learning_environment","The college provides a vibrant, lively, and student-friendly learning environment."
"Describe GC Mansehra's learning environment.","learning_environment","The college provides a vibrant, lively, and student-friendly learning environment."
"How is the learning environment at GC Mansehra?","learning_environment","The college provides a vibrant, lively, and student-friendly learning environment."
"What kind of academic atmosphere exists at GC Mansehra?","learning_environment","The college provides a vibrant, lively, and student-friendly learning environment."
"How does GC Mansehra create a learning environment?","learning_environment","The college provides a vibrant, lively, and student-friendly learning environment."
"What kind of campus atmosphere does GC Mansehra have?","learning_environment","The college provides a vibrant, lively, and student-friendly learning environment."
"Describe the educational environment at GC Mansehra.","learning_environment","The college provides a vibrant, lively, and student-friendly learning environment."
"What is the learning atmosphere like at GC Mansehra?","learning_environment","The college provides a vibrant, lively, and student-friendly learning environment."
"How is the academic environment at GC Mansehra?","learning_environment","The college provides a vibrant, lively, and student-friendly learning environment."
"What environment does GC Mansehra provide for students?","learning_environment","The college provides a vibrant, lively, and student-friendly learning environment."
"Tell me about GC Mansehra's learning environment.","learning_environment","The college provides a vibrant, lively, and student-friendly learning environment."
"What kind of student-friendly environment is offered?","learning_environment","The college provides a vibrant, lively, and student-friendly learning environment."
"What is the campus like at GC Mansehra?","learning_environment","The college provides a vibrant, lively, and student-friendly learning environment."
"How student-centered is GC Mansehra?","learning_environment","The college provides a vibrant, lively, and student-friendly learning environment."
"What makes GC Mansehra's learning environment special?","learning_environment","The college provides a vibrant, lively, and student-friendly learning environment."
"What kind of student experience does GC Mansehra provide?","learning_environment","The college provides a vibrant, lively, and student-friendly learning environment."
"How conducive is GC Mansehra for learning?","learning_environment","The college provides a vibrant, lively, and student-friendly learning environment."
"Describe the student atmosphere at GC Mansehra.","learning_environment","The college provides a vibrant, lively, and student-friendly learning environment."
"How is the environment for learning at GC Mansehra?","learning_environment","The college provides a vibrant, lively, and student-friendly learning environment."
"Are teachers at GC Mansehra well qualified?","faculty_qualification","Yes, the teachers are well qualified and continuously update their skills and expertise."
"Are the faculty members at GC Mansehra highly qualified?","faculty_qualification","Yes, the teachers are well qualified and continuously update their skills and expertise."
"Do GC Mansehra teachers have good qualifications?","faculty_qualification","Yes, the teachers are well qualified and continuously update their skills and expertise."
"Is the teaching staff at GC Mansehra competent?","faculty_qualification","Yes, the teachers are well qualified and continuously update their skills and expertise."
"Are GC Mansehra teachers skilled and experienced?","faculty_qualification","Yes, the teachers are well qualified and continuously update their skills and expertise."
"Do GC Mansehra teachers have proper credentials?","faculty_qualification","Yes, the teachers are well qualified and continuously update their skills and expertise."
"Are the professors at GC Mansehra well trained?","faculty_qualification","Yes, the teachers are well qualified and continuously update their skills and expertise."
"Are the faculty members competent at GC Mansehra?","faculty_qualification","Yes, the teachers are well qualified and continuously update their skills and expertise."
"Is the teaching staff qualified at GC Mansehra?","faculty_qualification","Yes, the teachers are well qualified and continuously update their skills and expertise."
"Are the teachers at GC Mansehra professionally qualified?","faculty_qualification","Yes, the teachers are well qualified and continuously update their skills and expertise."
"Do teachers at GC Mansehra have expertise?","faculty_qualification","Yes, the teachers are well qualified and continuously update their skills and expertise."
"Are GC Mansehra teachers experienced in their subjects?","faculty_qualification","Yes, the teachers are well qualified and continuously update their skills and expertise."
"Are the instructors at GC Mansehra well qualified?","faculty_qualification","Yes, the teachers are well qualified and continuously update their skills and expertise."
"Is the faculty at GC Mansehra highly skilled?","faculty_qualification","Yes, the teachers are well qualified and continuously update their skills and expertise."
"Are GC Mansehra teachers proficient?","faculty_qualification","Yes, the teachers are well qualified and continuously update their skills and expertise."
"Do the teachers at GC Mansehra update their skills?","faculty_qualification","Yes, the teachers are well qualified and continuously update their skills and expertise."
"Are the professors skilled at GC Mansehra?","faculty_qualification","Yes, the teachers are well qualified and continuously update their skills and expertise."
"Are GC Mansehra lecturers highly qualified?","faculty_qualification","Yes, the teachers are well qualified and continuously update their skills and expertise."
"Are GC Mansehra faculty members competent?","faculty_qualification","Yes, the teachers are well qualified and continuously update their skills and expertise."
"Do the faculty at GC Mansehra maintain expertise?","faculty_qualification","Yes, the teachers are well qualified and continuously update their skills and expertise."
"What is the teaching reputation of the college?","teaching_quality","GC Mansehra is known for outstanding teaching and excellent academic results."
"Does the college focus only on academics?","holistic_education","No, the college believes in holistic development beyond academics."
"Is GC Mansehra only concerned with academic studies?","holistic_education","No, the college believes in holistic development beyond academics."
"Does GC Mansehra support overall student growth?","holistic_education","No, the college believes in holistic development beyond academics."
"Is the college’s focus purely academic?","holistic_education","No, the college believes in holistic development beyond academics."
"Does the college provide a balanced education beyond academics?","holistic_education","No, the college believes in holistic development beyond academics."
"Does GC Mansehra encourage personal development too?","holistic_education","No, the college believes in holistic development beyond academics."
"Is holistic development considered at GC Mansehra?","holistic_education","No, the college believes in holistic development beyond academics."
"Does the college offer activities besides studies?","holistic_education","No, the college believes in holistic development beyond academics."
"Are students guided beyond academics at GC Mansehra?","holistic_education","No, the college believes in holistic development beyond academics."
"Is student growth at GC Mansehra only academic?","holistic_education","No, the college believes in holistic development beyond academics."
"Does the college promote mental, physical, and social growth?","holistic_education","No, the college believes in holistic development beyond academics."
"Is education at GC Mansehra well-rounded?","holistic_education","No, the college believes in holistic development beyond academics."
"Does GC Mansehra focus on character building as well?","holistic_education","No, the college believes in holistic development beyond academics."
"Are students’ skills beyond academics developed at GC Mansehra?","holistic_education","No, the college believes in holistic development beyond academics."
"Is there support for all-round development at the college?","holistic_education","No, the college believes in holistic development beyond academics."
"What qualities does GC Mansehra promote in students?","student_character","The college promotes self-confidence, energy, ambition, and a desire to learn and succeed."
"What traits are encouraged among students?","student_character","The college promotes self-confidence, energy, ambition, and a desire to learn and succeed."
"Which qualities does the college develop in its students?","student_character","The college promotes self-confidence, energy, ambition, and a desire to learn and succeed."
"What characteristics are fostered at GC Mansehra?","student_character","The college promotes self-confidence, energy, ambition, and a desire to learn and succeed."
"What personality traits are emphasized?","student_character","The college promotes self-confidence, energy, ambition, and a desire to learn and succeed."
"Does GC Mansehra cultivate ambition in students?","student_character","The college promotes self-confidence, energy, ambition, and a desire to learn and succeed."
"Are students encouraged to be confident and motivated?","student_character","The college promotes self-confidence, energy, ambition, and a desire to learn and succeed."
"What skills and attributes are developed at GC Mansehra?","student_character","The college promotes self-confidence, energy, ambition, and a desire to learn and succeed."
"How does the college shape student character?","student_character","The college promotes self-confidence, energy, ambition, and a desire to learn and succeed."
"Does GC Mansehra promote leadership qualities?","student_character","The college promotes self-confidence, energy, ambition, and a desire to learn and succeed."
"Which positive habits are cultivated in students?","student_character","The college promotes self-confidence, energy, ambition, and a desire to learn and succeed."
"What kind of attitude does GC Mansehra encourage?","student_character","The college promotes self-confidence, energy, ambition, and a desire to learn and succeed."
"Are students taught to be energetic and ambitious?","student_character","The college promotes self-confidence, energy, ambition, and a desire to learn and succeed."
"Does GC Mansehra instill a love for learning?","student_character","The college promotes self-confidence, energy, ambition, and a desire to learn and succeed."
"What mindset is promoted in students?","student_character","The college promotes self-confidence, energy, ambition, and a desire to learn and succeed."
"What values are emphasized at GC Mansehra?","institutional_values","The college promotes respect, integrity, honesty, and openness."
"Which values does GC Mansehra uphold?","institutional_values","The college promotes respect, integrity, honesty, and openness."
"What principles are encouraged at the college?","institutional_values","The college promotes respect, integrity, honesty, and openness."
"What ethical standards are emphasized in students?","institutional_values","The college promotes respect, integrity, honesty, and openness."
"Does the college focus on honesty and respect?","institutional_values","The college promotes respect, integrity, honesty, and openness."
"What moral values are taught at GC Mansehra?","institutional_values","The college promotes respect, integrity, honesty, and openness."
"How does GC Mansehra promote integrity among students?","institutional_values","The college promotes respect, integrity, honesty, and openness."
"Which character values are encouraged at GC Mansehra?","institutional_values","The college promotes respect, integrity, honesty, and openness."
"Are students taught to be respectful and honest?","institutional_values","The college promotes respect, integrity, honesty, and openness."
"What ethical principles guide students?","institutional_values","The college promotes respect, integrity, honesty, and openness."
"Does the college promote openness and integrity?","institutional_values","The college promotes respect, integrity, honesty, and openness."
"What kind of values are highlighted at GC Mansehra?","institutional_values","The college promotes respect, integrity, honesty, and openness."
"Which qualities does the college emphasize in students?","institutional_values","The college promotes respect, integrity, honesty, and openness."
"Are ethical standards a focus at GC Mansehra?","institutional_values","The college promotes respect, integrity, honesty, and openness."
"How are honesty and respect instilled in students?","institutional_values","The college promotes respect, integrity, honesty, and openness."
"What discipline standards are expected from students?","student_discipline","Students are expected to be punctual, disciplined, attend regularly, and work hard."
"What rules must students follow?","student_discipline","Students are expected to be punctual, disciplined, attend regularly, and work hard."
"How should students maintain discipline at GC Mansehra?","student_discipline","Students are expected to be punctual, disciplined, attend regularly, and work hard."
"What behavioral standards are expected from students?","student_discipline","Students are expected to be punctual, disciplined, attend regularly, and work hard."
"Are students required to be punctual and disciplined?","student_discipline","Students are expected to be punctual, disciplined, attend regularly, and work hard."
"What expectations exist for student discipline?","student_discipline","Students are expected to be punctual, disciplined, attend regularly, and work hard."
"How should students behave at GC Mansehra?","student_discipline","Students are expected to be punctual, disciplined, attend regularly, and work hard."
"Which habits are important for students to follow?","student_discipline","Students are expected to be punctual, disciplined, attend regularly, and work hard."
"Are students expected to attend regularly?","student_discipline","Students are expected to be punctual, disciplined, attend regularly, and work hard."
"What are the college rules for student discipline?","student_discipline","Students are expected to be punctual, disciplined, attend regularly, and work hard."
"How does GC Mansehra enforce discipline?","student_discipline","Students are expected to be punctual, disciplined, attend regularly, and work hard."
"Which standards should students adhere to?","student_discipline","Students are expected to be punctual, disciplined, attend regularly, and work hard."
"Are students expected to work hard consistently?","student_discipline","Students are expected to be punctual, disciplined, attend regularly, and work hard."
"Does GC Mansehra require disciplined behavior?","student_discipline","Students are expected to be punctual, disciplined, attend regularly, and work hard."
"What is expected from students regarding discipline?","student_discipline","Students are expected to be punctual, disciplined, attend regularly, and work hard."
"Does the college offer extracurricular activities?","extracurricular_activities","Yes, GC Mansehra offers various extracurricular and co-curricular activities."
"Are there extracurricular activities at GC Mansehra?","extracurricular_activities","Yes, GC Mansehra offers various extracurricular and co-curricular activities."
"Does GC Mansehra provide co-curricular opportunities?","extracurricular_activities","Yes, GC Mansehra offers various extracurricular and co-curricular activities."
"Can students participate in activities outside class?","extracurricular_activities","Yes, GC Mansehra offers various extracurricular and co-curricular activities."
"Are sports and clubs available for students?","extracurricular_activities","Yes, GC Mansehra offers various extracurricular and co-curricular activities."
"Does GC Mansehra organize student activities?","extracurricular_activities","Yes, GC Mansehra offers various extracurricular and co-curricular activities."
"Are co-curricular events conducted at the college?","extracurricular_activities","Yes, GC Mansehra offers various extracurricular and co-curricular activities."
"What kind of extracurricular programs are offered?","extracurricular_activities","Yes, GC Mansehra offers various extracurricular and co-curricular activities."
"Does the college promote student engagement outside academics?","extracurricular_activities","Yes, GC Mansehra offers various extracurricular and co-curricular activities."
"Are students encouraged to join clubs and societies?","extracurricular_activities","Yes, GC Mansehra offers various extracurricular and co-curricular activities."
"Does GC Mansehra host cultural and sports events?","extracurricular_activities","Yes, GC Mansehra offers various extracurricular and co-curricular activities."
"Are there programs besides classes at the college?","extracurricular_activities","Yes, GC Mansehra offers various extracurricular and co-curricular activities."
"Can students take part in arts and sports activities?","extracurricular_activities","Yes, GC Mansehra offers various extracurricular and co-curricular activities."
"Are extra programs organized for student growth?","extracurricular_activities","Yes, GC Mansehra offers various extracurricular and co-curricular activities."
"Does the college arrange competitions and activities?","extracurricular_activities","Yes, GC Mansehra offers various extracurricular and co-curricular activities."
"Are sports events organized at the college?","sports_activities","Yes, sports galas are organized to promote physical fitness and teamwork."
"Does GC Mansehra host sports competitions?","sports_activities","Yes, sports galas are organized to promote physical fitness and teamwork."
"Are athletic events arranged at the college?","sports_activities","Yes, sports galas are organized to promote physical fitness and teamwork."
"Does the college hold annual sports galas?","sports_activities","Yes, sports galas are organized to promote physical fitness and teamwork."
"Are students encouraged to participate in sports?","sports_activities","Yes, sports galas are organized to promote physical fitness and teamwork."
"Are physical fitness events conducted at GC Mansehra?","sports_activities","Yes, sports galas are organized to promote physical fitness and teamwork."
"Does GC Mansehra promote teamwork through sports?","sports_activities","Yes, sports galas are organized to promote physical fitness and teamwork."
"Are sports competitions part of college activities?","sports_activities","Yes, sports galas are organized to promote physical fitness and teamwork."
